Whisper Rock C.C,71.1,138,4,420,3,197,5,197,4,296,4,426,4,356,3,204,5,540,4,394,4,432,5,506,3,171,4,320,4,414,4,367,4,419,3,152,5,554
Quintero Golf Club,73.1,143,4,388,5,545,4,545,4,438,4,352,3,190,4,410,5,550,3,188,5,515,4,435,4,410,3,176,5,541,4,358,3,201,4,363,4,425
Las Colinas,70.8,123,5,555,4,373,4,373,4,444,5,532,3,187,4,339,3,185,4,380,4,426,3,188,5,541,4,396,3,192,5,535,4,390,3,169,4,420
Augusta National,72.2,135,4,462,5,593,4,593,3,239,4,460,3,191,4,449,5,569,4,472,4,509,4,485,3,171,5,528,4,450,5,535,3,195,4,439,4,460
Arrowhead CC,73.2,124,4,396,5,533,3,533,4,387,4,433,5,572,3,205,4,396,4,381,4,446,3,206,5,550,4,397,4,424,3,180,4,393,4,423,5,477
Alta Mesa,73.7,134,4,394,4,419,5,419,4,349,3,179,4,406,3,247,4,428,5,564,5,556,4,424,3,204,4,442,4,394,4,390,5,556,3,157,4,425
Eagle Mountain,71.4,134,5,568,4,433,3,433,5,554,3,183,4,384,4,443,3,193,4,456,5,535,4,461,5,510,3,185,4,384,3,129,4,407,4,345,4,420
Legend Trail,72.3,138,4,385,4,405,4,405,5,540,3,185,4,335,5,495,3,195,4,375,4,425,4,435,3,235,4,435,4,365,3,170,5,530,5,510,4,410
Sag Hollow,73.2,132,4,432,4,477,3,477,5,524,4,320,3,243,4,437,4,308,5,525,4,432,4,477,3,156,5,524,4,320,3,243,4,437,4,308,5,525
TPC Craig Ranch,76,150,4,431,4,438,4,438,3,196,5,569,4,361,3,204,4,439,5,550,4,431,4,457,5,547,4,437,4,330,3,197,4,429,3,171,5,552
Hapuna G.C.,73.3,136,4,336,4,348,5,348,4,351,3,155,4,441,3,178,5,533,4,435,4,372,5,550,4,416,3,159,5,566,4,437,3,162,4,419,4,462
Abercrombie,69.7,130,4,358,4,373,4,373,5,472,3,143,4,420,5,549,3,168,4,341,3,172,4,332,4,380,4,324,4,326,3,161,4,367,5,459,4,364
Aloha,70.0,113,5,545,4,331,4,331,3,207,5,467,4,375,4,319,3,174,4,314,5,513,4,353,4,377,3,196,4,337,4,365,5,481,3,210,4,410
